gender,age,marital_status,education,nb_depend_child,employ_status,yrs_current_job,yrs_employed,net_income,spouse_work,spouse_income,residential_status,yrs_current_address,product,purchase
F,25,widowed,basic,2,self_employ,3,2,25500,no,0,owner,4,stocks,yes
F,22,single,basic,0,full_time,0,2,21250,no,0,tenant,7,derivatives,no
M,69,widowed,basic,3,retired,12,41,14875,no,0,tenant,10,bonds,yes
M,27,married,univ,3,full_time,1,3,53125,yes,45741,tenant,5,stocks,yes
M,30,divorced,univ,3,part_time,5,6,47813,no,0,tenant,5,bonds,yes
M,24,married,univ,0,unemployed,0,4,0,yes,24246,tenant,5,stocks,yes
M,41,married,highsch,1,self_employ,9,17,57375,yes,26014,owner_morg,10,stocks,no
M,35,single,univ,0,self_employ,5,8,95625,no,0,tenant,6,stocks,no
M,41,divorced,highsch,0,part_time,6,15,28688,no,0,tenant,1,derivatives,yes
M,32,divorced,highsch,0,full_time,6,8,47813,no,0,tenant,7,bonds,no
F,36,widowed,postgrad,1,full_time,5,10,127500,no,0,tenant,14,derivatives,no
F,39,single,highsch,0,full_time,3,2,47813,no,0,owner,7,derivatives,no
M,67,single,univ,0,self_employ,20,37,111563,no,0,tenant,5,bonds,no
F,40,divorced,univ,2,full_time,1,2,79688,no,0,owner_morg,6,derivatives,no
F,40,divorced,highsch,3,part_time,8,13,28688,no,0,owner_morg,15,stocks,no
M,30,married,basic,1,unemployed,0,7,0,yes,24034,owner,2,derivatives,yes
M,33,divorced,univ,0,self_employ,6,5,95625,no,0,tenant,15,stocks,no
M,33,divorced,basic,1,full_time,2,10,31875,no,0,owner_morg,13,stocks,no
M,25,single,highsch,0,part_time,4,6,19125,no,0,owner,2,bonds,no
M,27,divorced,univ,1,unemployed,0,3,0,no,0,owner,4,stocks,yes
M,27,divorced,highsch,0,unemployed,0,6,0,no,0,owner_morg,3,stocks,yes
M,22,single,highsch,0,part_time,1,3,19125,no,0,owner_morg,6,derivatives,yes
F,55,widowed,basic,2,unemployed,0,25,0,no,0,tenant,4,stocks,no
F,24,divorced,univ,1,full_time,1,5,53125,no,0,tenant,8,bonds,yes
M,68,widowed,highsch,2,self_employ,25,27,66938,no,0,tenant,4,derivatives,no
M,22,married,univ,0,part_time,1,1,31875,yes,42845,owner,3,stocks,yes
M,38,divorced,postgrad,1,full_time,6,12,127500,no,0,tenant,15,derivatives,no
M,35,single,postgrad,0,full_time,0,4,127500,no,0,tenant,9,stocks,no
M,29,married,basic,2,full_time,4,7,21250,yes,49569,tenant,1,bonds,yes
F,23,single,basic,0,unemployed,0,1,0,no,0,tenant,4,bonds,no
M,33,single,highsch,0,unemployed,0,10,0,no,0,owner,4,derivatives,yes
M,42,single,postgrad,0,full_time,12,16,127500,no,0,owner_morg,8,derivatives,yes
M,37,single,postgrad,0,full_time,8,13,127500,no,0,owner_morg,8,stocks,no
F,38,divorced,highsch,1,part_time,10,15,28688,no,0,owner,12,bonds,yes
M,48,married,highsch,3,self_employ,13,22,57375,yes,53253,owner,12,stocks,no
M,39,divorced,univ,2,self_employ,4,17,95625,no,0,tenant,9,bonds,yes
F,43,married,postgrad,0,part_time,3,9,76500,yes,75258,owner_morg,12,bonds,yes
F,51,widowed,univ,2,unemployed,0,8,0,no,0,tenant,9,derivatives,no
M,31,divorced,highsch,2,part_time,7,7,28688,no,0,owner,13,derivatives,no
M,28,single,highsch,0,unemployed,0,3,0,no,0,tenant,8,stocks,yes
M,52,divorced,highsch,1,self_employ,14,17,66938,no,0,owner,9,derivatives,no
M,51,married,highsch,0,unemployed,0,5,0,no,0,owner,6,bonds,no
F,65,divorced,basic,2,unemployed,0,10,0,no,0,tenant,15,bonds,yes
M,64,widowed,basic,2,self_employ,19,18,44625,no,0,tenant,12,derivatives,yes
F,38,married,highsch,2,self_employ,1,11,57375,yes,39615,owner_morg,1,stocks,no
M,51,single,highsch,0,part_time,5,21,33469,no,0,tenant,14,derivatives,yes
F,23,divorced,highsch,0,full_time,3,2,31875,no,0,owner,4,derivatives,no
F,31,divorced,basic,0,full_time,2,2,31875,no,0,tenant,15,derivatives,no
F,30,single,highsch,0,unemployed,0,1,0,no,0,tenant,15,derivatives,no
M,24,married,univ,0,unemployed,0,2,0,yes,9500,owner_morg,4,derivatives,yes
M,25,single,univ,0,self_employ,1,4,63750,no,0,tenant,6,stocks,yes
F,32,single,basic,0,part_time,3,7,19125,no,0,tenant,12,bonds,yes
F,51,divorced,univ,0,self_employ,16,14,111563,no,0,owner_morg,8,stocks,no
F,46,divorced,univ,3,unemployed,0,12,0,no,0,tenant,13,stocks,no
F,32,divorced,highsch,2,full_time,2,7,47813,no,0,tenant,13,derivatives,no
M,46,married,univ,3,part_time,10,20,47813,yes,51536,tenant,2,stocks,no
M,22,divorced,highsch,1,unemployed,0,1,0,no,0,tenant,8,derivatives,yes
M,53,married,postgrad,2,part_time,12,17,89250,yes,58641,owner,9,derivatives,no
F,75,divorced,highsch,3,self_employ,11,26,66938,no,0,owner_morg,15,stocks,no
F,21,single,highsch,0,full_time,2,2,31875,no,0,tenant,6,bonds,yes
F,22,divorced,basic,1,self_employ,0,0,25500,no,0,tenant,7,bonds,yes
M,46,married,highsch,0,part_time,13,22,28688,yes,40404,tenant,9,derivatives,yes
M,39,single,postgrad,0,full_time,0,2,127500,no,0,owner,13,bonds,no
F,75,married,univ,1,retired,2,32,37188,no,0,tenant,1,bonds,yes
M,29,married,postgrad,0,unemployed,0,2,0,yes,28859,tenant,1,derivatives,no
M,25,single,highsch,0,part_time,1,2,19125,no,0,owner_morg,5,derivatives,yes
F,50,single,basic,0,full_time,10,9,37188,no,0,tenant,7,bonds,no
F,31,single,highsch,0,unemployed,0,0,0,no,0,owner,3,bonds,yes
F,40,divorced,highsch,0,unemployed,0,15,0,no,0,owner_morg,3,derivatives,no
M,55,single,univ,0,unemployed,0,13,0,no,0,owner_morg,2,stocks,no
M,25,single,highsch,0,full_time,2,2,31875,no,0,owner,9,stocks,no
M,21,single,basic,0,unemployed,0,1,0,no,0,w_parents,5,bonds,no
F,25,married,univ,1,full_time,4,4,53125,no,0,tenant,9,stocks,yes
F,39,single,univ,0,self_employ,3,7,95625,no,0,owner_morg,14,bonds,yes
F,29,married,highsch,0,unemployed,0,4,0,yes,32979,tenant,4,bonds,yes
F,39,married,univ,2,self_employ,7,14,95625,yes,57480,owner,10,stocks,no
F,27,married,univ,1,self_employ,2,4,63750,yes,55051,tenant,1,stocks,yes
M,63,widowed,highsch,2,self_employ,11,34,66938,no,0,tenant,5,stocks,no
F,54,divorced,highsch,2,full_time,4,14,55781,no,0,owner_morg,13,bonds,yes
M,38,divorced,highsch,2,full_time,2,7,47813,no,0,tenant,9,bonds,yes
M,28,divorced,basic,0,part_time,5,4,12750,no,0,owner_morg,10,stocks,yes
M,33,married,highsch,1,self_employ,1,4,57375,yes,54137,tenant,2,derivatives,yes
F,23,single,basic,0,self_employ,2,4,25500,no,0,tenant,8,stocks,yes
F,47,single,highsch,0,full_time,4,19,47813,no,0,owner_morg,1,bonds,yes
M,47,married,univ,2,unemployed,0,5,0,yes,30119,tenant,11,bonds,yes
F,35,widowed,highsch,2,full_time,5,13,47813,no,0,tenant,11,derivatives,no
M,36,married,basic,1,full_time,5,6,31875,yes,38634,tenant,15,derivatives,yes
F,61,widowed,postgrad,0,full_time,3,28,148750,no,0,tenant,6,derivatives,yes
M,22,divorced,highsch,0,full_time,0,2,31875,no,0,tenant,7,derivatives,no
F,21,divorced,basic,1,self_employ,0,2,25500,no,0,tenant,6,derivatives,no
M,22,divorced,univ,1,self_employ,0,3,63750,no,0,tenant,7,stocks,yes
M,27,single,univ,0,full_time,0,2,53125,no,0,tenant,6,stocks,yes
F,42,divorced,univ,1,self_employ,0,16,95625,no,0,tenant,10,bonds,yes
M,32,single,univ,0,full_time,1,10,79688,no,0,owner_morg,2,stocks,no
F,28,married,highsch,1,part_time,0,0,19125,yes,24262,tenant,9,stocks,yes
F,56,divorced,basic,2,part_time,14,15,22313,no,0,tenant,6,stocks,no
F,53,divorced,highsch,3,unemployed,0,11,0,no,0,owner_morg,8,stocks,no
F,32,divorced,highsch,2,unemployed,0,4,0,no,0,tenant,11,bonds,yes
F,40,divorced,highsch,2,full_time,6,5,47813,no,0,owner,6,stocks,no
F,38,divorced,univ,2,full_time,2,11,79688,no,0,tenant,4,stocks,no
M,21,single,highsch,0,unemployed,0,2,0,no,0,w_parents,7,bonds,no
M,21,single,basic,0,self_employ,2,2,25500,no,0,w_parents,4,bonds,no
M,34,married,univ,0,unemployed,0,8,0,yes,41517,owner,3,derivatives,yes
F,23,single,basic,0,self_employ,1,3,25500,no,0,owner,6,derivatives,no
M,54,married,highsch,2,unemployed,0,17,0,yes,38056,tenant,11,bonds,yes
F,50,divorced,highsch,1,full_time,11,11,55781,no,0,owner_morg,2,derivatives,no
F,34,single,highsch,0,unemployed,0,2,0,no,0,owner_morg,3,bonds,yes
F,40,married,highsch,3,full_time,7,13,47813,yes,57644,tenant,10,bonds,yes
M,50,married,highsch,2,part_time,11,14,33469,yes,49696,owner,15,stocks,no
F,35,widowed,highsch,0,unemployed,0,6,0,no,0,owner_morg,5,stocks,no
M,43,single,basic,0,part_time,6,19,19125,no,0,tenant,4,stocks,no
M,21,single,basic,0,part_time,0,2,12750,no,0,w_parents,5,bonds,no
M,40,married,highsch,3,part_time,3,12,28688,yes,33760,tenant,5,derivatives,yes
M,44,married,highsch,1,full_time,8,6,47813,yes,51500,tenant,6,derivatives,yes
F,62,widowed,highsch,1,self_employ,10,20,66938,no,0,tenant,7,bonds,yes
F,20,single,highsch,0,part_time,1,1,19125,no,0,w_parents,6,bonds,yes
F,31,widowed,highsch,0,unemployed,0,10,0,no,0,owner,11,derivatives,yes
F,36,divorced,basic,3,full_time,5,14,31875,no,0,owner,14,stocks,no
M,45,divorced,highsch,2,full_time,13,15,47813,no,0,tenant,14,derivatives,yes
F,21,widowed,highsch,0,self_employ,1,2,38250,no,0,tenant,5,stocks,yes
F,41,married,highsch,2,unemployed,0,15,0,yes,37727,tenant,14,derivatives,yes
F,33,divorced,univ,3,unemployed,0,10,0,no,0,tenant,6,derivatives,no
F,65,married,highsch,0,unemployed,0,38,0,yes,38236,tenant,5,stocks,no
F,51,single,highsch,0,full_time,7,8,55781,no,0,owner_morg,4,bonds,yes
M,36,divorced,univ,1,part_time,2,2,47813,no,0,tenant,12,derivatives,yes
F,27,divorced,univ,1,part_time,3,5,31875,no,0,tenant,3,derivatives,no
F,30,widowed,highsch,1,full_time,1,9,47813,no,0,tenant,7,stocks,no
F,25,single,basic,0,full_time,0,2,21250,no,0,tenant,1,stocks,yes
F,64,widowed,highsch,2,full_time,0,27,55781,no,0,owner,14,derivatives,yes
F,33,divorced,univ,2,full_time,1,10,79688,no,0,owner_morg,1,stocks,no
F,29,single,univ,0,self_employ,0,7,63750,no,0,owner,5,stocks,yes
M,32,single,basic,0,full_time,6,8,31875,no,0,tenant,9,stocks,no
M,33,divorced,univ,0,full_time,3,9,79688,no,0,tenant,14,derivatives,no
M,46,single,postgrad,0,full_time,0,8,127500,no,0,tenant,8,bonds,no
M,32,married,highsch,0,unemployed,0,3,0,yes,30113,owner,14,stocks,no
M,81,single,univ,0,self_employ,21,22,111563,no,0,owner,9,stocks,no
M,38,widowed,postgrad,2,full_time,2,7,127500,no,0,owner_morg,1,derivatives,yes
M,50,single,highsch,0,full_time,0,17,55781,no,0,owner_morg,10,derivatives,yes
M,29,married,postgrad,2,unemployed,0,3,0,yes,27100,tenant,2,stocks,yes
F,38,divorced,basic,3,part_time,2,10,19125,no,0,tenant,11,bonds,yes
M,21,single,highsch,0,part_time,2,2,19125,no,0,w_parents,4,stocks,yes
M,23,married,highsch,0,unemployed,0,2,0,yes,4503,tenant,7,derivatives,yes
M,79,divorced,highsch,1,self_employ,6,26,66938,no,0,tenant,13,bonds,yes
F,49,single,highsch,0,full_time,6,9,47813,no,0,tenant,5,stocks,no
F,43,divorced,postgrad,0,full_time,1,20,127500,no,0,owner,3,bonds,yes
M,43,single,highsch,0,part_time,4,9,28688,no,0,tenant,5,derivatives,yes
M,24,single,highsch,0,unemployed,0,2,0,no,0,owner,8,derivatives,yes
M,35,divorced,highsch,2,full_time,5,6,47813,no,0,owner,13,stocks,no
M,56,single,basic,0,self_employ,3,26,44625,no,0,tenant,13,derivatives,yes
M,32,single,basic,0,full_time,6,6,31875,no,0,owner_morg,15,bonds,no
F,32,single,highsch,0,part_time,1,9,28688,no,0,owner,10,derivatives,no
F,31,divorced,univ,0,self_employ,5,7,95625,no,0,tenant,15,derivatives,no
F,30,married,highsch,1,full_time,0,6,47813,no,0,tenant,7,stocks,no
F,23,single,univ,0,unemployed,0,3,0,no,0,owner_morg,4,derivatives,no
F,73,single,univ,0,self_employ,11,19,111563,no,0,owner,15,stocks,no
F,28,divorced,univ,3,full_time,1,2,53125,no,0,owner_morg,9,derivatives,no
F,34,divorced,highsch,2,full_time,5,9,47813,no,0,owner_morg,11,derivatives,no
M,26,married,highsch,3,part_time,2,2,19125,no,0,owner,10,derivatives,yes
M,56,married,highsch,1,self_employ,10,26,66938,yes,34382,owner_morg,5,bonds,yes
M,24,divorced,highsch,0,full_time,1,1,31875,no,0,tenant,5,stocks,yes
M,22,divorced,highsch,0,full_time,1,1,31875,no,0,owner_morg,5,stocks,yes
F,29,married,univ,2,part_time,0,7,31875,no,0,tenant,6,bonds,yes
F,25,single,univ,0,self_employ,2,2,63750,no,0,tenant,1,stocks,yes
F,33,widowed,univ,0,self_employ,2,6,95625,no,0,owner_morg,14,bonds,yes
M,47,divorced,highsch,2,self_employ,7,6,57375,no,0,tenant,11,derivatives,yes
F,31,divorced,highsch,3,full_time,5,10,47813,no,0,owner,10,stocks,no
F,46,single,highsch,0,self_employ,5,8,57375,no,0,tenant,2,stocks,no
M,32,single,univ,0,part_time,4,4,47813,no,0,tenant,14,stocks,no
F,37,divorced,highsch,2,unemployed,0,15,0,no,0,tenant,3,derivatives,no
F,29,single,univ,0,full_time,6,6,53125,no,0,tenant,10,bonds,yes
F,23,divorced,basic,0,self_employ,1,1,25500,no,0,tenant,3,stocks,yes
F,40,widowed,univ,2,full_time,7,11,79688,no,0,tenant,15,derivatives,yes
F,22,single,basic,0,part_time,0,2,12750,no,0,tenant,4,stocks,yes
F,22,divorced,univ,1,self_employ,2,2,63750,no,0,tenant,4,derivatives,no
M,24,divorced,highsch,0,part_time,2,4,19125,no,0,owner,3,stocks,yes
F,83,divorced,highsch,1,self_employ,30,33,66938,no,0,owner_morg,1,stocks,no
F,24,single,univ,0,full_time,3,4,53125,no,0,tenant,5,stocks,yes
M,21,single,highsch,0,full_time,2,2,31875,no,0,tenant,8,stocks,yes
F,25,divorced,highsch,0,part_time,4,3,19125,no,0,tenant,2,bonds,yes
M,23,single,univ,0,full_time,3,2,53125,no,0,tenant,3,stocks,yes
M,25,married,basic,0,unemployed,0,3,0,yes,27969,tenant,8,bonds,no
F,33,single,basic,0,self_employ,1,3,38250,no,0,tenant,3,bonds,yes
M,29,single,highsch,0,part_time,6,9,19125,no,0,owner_morg,9,bonds,no
F,55,married,highsch,0,full_time,5,23,55781,yes,50301,tenant,6,derivatives,no
F,24,widowed,univ,0,full_time,1,3,53125,no,0,owner,4,bonds,yes
F,34,married,univ,2,part_time,1,5,47813,yes,54666,tenant,1,derivatives,yes
M,43,married,univ,2,part_time,2,15,47813,yes,56298,owner_morg,13,bonds,yes
M,38,married,highsch,3,full_time,0,8,47813,yes,50913,tenant,2,stocks,no
M,32,married,postgrad,0,self_employ,5,5,153000,no,0,tenant,12,stocks,no
F,21,married,highsch,1,self_employ,2,2,38250,no,0,tenant,5,stocks,yes
M,45,widowed,highsch,2,full_time,4,16,47813,no,0,owner,5,derivatives,no
F,44,married,postgrad,3,self_employ,12,19,153000,yes,27943,owner,6,stocks,no
M,24,single,highsch,0,part_time,2,4,19125,no,0,tenant,3,bonds,no
F,57,divorced,univ,2,full_time,7,24,92969,no,0,tenant,7,bonds,no
F,26,divorced,univ,1,self_employ,0,2,63750,no,0,tenant,3,derivatives,no
M,49,married,basic,3,full_time,3,14,31875,yes,54501,tenant,1,stocks,no
F,40,widowed,highsch,1,full_time,5,7,47813,no,0,tenant,15,bonds,yes
F,63,married,highsch,0,part_time,3,34,33469,yes,39987,tenant,13,stocks,no
M,35,married,univ,2,full_time,0,1,79688,yes,73956,owner,1,bonds,no
F,22,single,highsch,0,full_time,0,3,31875,no,0,owner,3,derivatives,no
F,22,divorced,univ,1,unemployed,0,2,0,no,0,tenant,3,bonds,yes
M,25,divorced,univ,1,full_time,4,6,53125,no,0,tenant,3,bonds,yes
M,29,widowed,univ,1,part_time,5,7,31875,no,0,tenant,4,stocks,yes
M,30,single,highsch,0,self_employ,0,10,57375,no,0,owner,8,stocks,no
F,51,single,highsch,0,part_time,17,20,33469,no,0,tenant,7,stocks,no
M,60,widowed,highsch,0,unemployed,0,29,0,no,0,tenant,8,bonds,no
F,25,single,univ,0,part_time,0,4,31875,no,0,tenant,10,derivatives,no
F,25,divorced,univ,1,full_time,3,5,53125,no,0,tenant,10,bonds,yes
M,42,divorced,postgrad,2,full_time,8,9,127500,no,0,tenant,3,bonds,no
M,25,single,univ,0,part_time,3,6,31875,no,0,tenant,9,derivatives,yes
M,48,married,highsch,0,part_time,2,15,28688,yes,56912,tenant,4,bonds,no
M,22,divorced,highsch,0,unemployed,0,1,0,no,0,tenant,7,bonds,no
M,34,married,highsch,1,unemployed,0,1,0,yes,20150,tenant,4,bonds,yes
F,26,single,univ,0,part_time,1,5,31875,no,0,tenant,7,derivatives,no
F,27,married,postgrad,0,part_time,3,5,51000,yes,28942,owner_morg,2,stocks,yes
F,29,single,univ,0,part_time,5,8,31875,no,0,tenant,7,stocks,yes
F,35,married,highsch,2,full_time,3,8,47813,yes,55112,owner_morg,4,stocks,no
M,84,divorced,univ,2,self_employ,4,34,111563,no,0,tenant,6,bonds,yes
M,53,single,postgrad,0,full_time,18,28,148750,no,0,tenant,8,derivatives,yes
M,69,divorced,univ,1,unemployed,0,41,0,no,0,owner,6,derivatives,yes
M,22,single,highsch,0,unemployed,0,3,0,no,0,tenant,3,derivatives,no
F,22,single,highsch,0,full_time,1,2,31875,no,0,tenant,7,derivatives,no
M,35,widowed,basic,1,self_employ,8,10,38250,no,0,tenant,4,bonds,yes
M,29,divorced,basic,0,full_time,0,3,21250,no,0,tenant,8,bonds,no
F,35,married,univ,0,part_time,2,13,47813,yes,59347,tenant,6,derivatives,no
M,35,divorced,highsch,3,full_time,9,9,47813,no,0,owner_morg,5,derivatives,yes
M,27,married,postgrad,0,self_employ,2,3,102000,yes,38060,owner_morg,2,derivatives,yes
M,55,married,univ,2,unemployed,0,28,0,yes,28208,tenant,3,stocks,no
F,28,single,highsch,0,self_employ,0,2,38250,no,0,owner_morg,4,bonds,yes
M,34,widowed,highsch,1,unemployed,0,8,0,no,0,owner,2,bonds,no
F,59,married,postgrad,1,unemployed,0,14,0,yes,15877,tenant,3,derivatives,yes
M,40,single,postgrad,0,full_time,11,15,127500,no,0,owner,15,stocks,no
M,53,single,univ,0,self_employ,15,18,111563,no,0,owner_morg,11,stocks,no
F,28,married,highsch,0,full_time,3,8,31875,yes,36026,owner_morg,7,stocks,yes
M,38,single,postgrad,0,full_time,7,13,127500,no,0,owner,4,bonds,no
M,24,married,highsch,0,unemployed,0,3,0,no,0,owner,4,derivatives,yes
M,44,single,highsch,0,full_time,11,18,47813,no,0,owner_morg,10,bonds,no
F,48,single,basic,0,self_employ,7,11,38250,no,0,tenant,5,stocks,no
M,32,single,highsch,0,unemployed,0,8,0,no,0,owner_morg,2,derivatives,yes
M,39,single,highsch,0,full_time,1,13,47813,no,0,owner,5,derivatives,no
M,50,single,highsch,0,part_time,6,17,33469,no,0,tenant,5,stocks,no
F,41,divorced,highsch,0,part_time,7,16,28688,no,0,tenant,14,derivatives,no
M,32,widowed,highsch,0,full_time,4,4,47813,no,0,tenant,12,bonds,no
F,27,single,highsch,0,part_time,3,7,19125,no,0,owner,5,stocks,yes
F,21,single,highsch,0,full_time,2,2,31875,no,0,owner_morg,3,bonds,yes
M,21,single,basic,0,full_time,0,2,21250,no,0,w_parents,5,bonds,no
M,29,married,highsch,0,part_time,6,8,19125,yes,37714,tenant,3,bonds,no
M,30,divorced,postgrad,2,full_time,1,10,127500,no,0,tenant,4,stocks,no
F,39,single,univ,0,unemployed,0,14,0,no,0,owner,3,derivatives,no
M,24,single,univ,0,unemployed,0,4,0,no,0,tenant,3,bonds,no
M,38,single,highsch,0,self_employ,6,15,57375,no,0,owner_morg,7,stocks,no
M,64,single,highsch,0,self_employ,0,3,66938,no,0,owner,12,stocks,no
F,46,widowed,postgrad,2,full_time,3,15,127500,no,0,owner,13,derivatives,yes
F,35,married,basic,0,unemployed,0,1,0,yes,20289,tenant,10,bonds,yes
M,28,single,univ,0,unemployed,0,6,0,no,0,owner_morg,7,stocks,yes
M,25,single,univ,0,full_time,2,2,53125,no,0,owner,5,derivatives,yes
M,26,divorced,basic,1,full_time,4,3,21250,no,0,tenant,7,bonds,yes
F,31,single,highsch,0,full_time,6,10,47813,no,0,tenant,12,stocks,no
M,40,widowed,basic,1,full_time,7,12,31875,no,0,tenant,7,bonds,yes
F,21,single,highsch,0,full_time,0,2,31875,no,0,owner_morg,8,stocks,yes
F,62,widowed,postgrad,0,full_time,17,31,148750,no,0,owner_morg,1,derivatives,yes
F,51,married,basic,0,full_time,16,22,37188,yes,56880,tenant,12,derivatives,no
F,34,widowed,highsch,0,unemployed,0,10,0,no,0,tenant,12,bonds,yes
M,21,married,highsch,0,full_time,0,1,31875,yes,42876,tenant,3,bonds,no
M,46,single,postgrad,0,full_time,6,9,127500,no,0,tenant,6,derivatives,yes
M,43,married,postgrad,2,full_time,1,9,127500,yes,101349,owner_morg,4,bonds,yes
F,35,married,highsch,1,self_employ,2,12,57375,yes,28895,tenant,6,derivatives,yes
M,27,married,highsch,3,full_time,5,6,31875,yes,46881,tenant,10,derivatives,yes
F,22,divorced,basic,0,self_employ,1,3,25500,no,0,owner_morg,6,stocks,yes
F,24,single,univ,0,self_employ,3,5,63750,no,0,owner_morg,6,stocks,yes
M,65,single,highsch,0,part_time,18,31,33469,no,0,tenant,7,bonds,no
M,24,single,highsch,0,full_time,0,1,31875,no,0,tenant,3,derivatives,no
F,29,single,highsch,0,full_time,5,7,31875,no,0,tenant,5,stocks,yes
M,20,single,highsch,0,self_employ,1,1,38250,no,0,tenant,5,bonds,no
M,30,divorced,highsch,0,full_time,2,6,47813,no,0,tenant,10,derivatives,yes
M,23,divorced,univ,1,part_time,0,0,31875,no,0,tenant,4,stocks,yes
F,33,single,univ,0,full_time,5,8,79688,no,0,tenant,8,stocks,no
F,29,married,highsch,0,self_employ,4,5,38250,yes,44112,tenant,1,derivatives,no
M,55,single,highsch,0,self_employ,10,25,66938,no,0,tenant,2,derivatives,yes
M,25,divorced,univ,2,full_time,4,6,53125,no,0,owner_morg,2,bonds,yes
F,66,widowed,univ,3,unemployed,0,16,0,no,0,owner,6,derivatives,yes
F,22,widowed,basic,0,full_time,0,2,21250,no,0,owner_morg,7,bonds,yes
F,48,divorced,basic,2,part_time,15,23,19125,no,0,owner_morg,10,stocks,no
F,54,single,highsch,0,full_time,3,21,55781,no,0,tenant,6,derivatives,no
M,22,married,univ,0,unemployed,0,1,0,yes,40868,tenant,4,bonds,no
M,26,single,highsch,0,part_time,1,6,19125,no,0,tenant,1,bonds,no
M,34,married,highsch,3,unemployed,0,2,0,yes,13443,owner_morg,7,stocks,no
M,27,widowed,univ,3,full_time,0,7,53125,no,0,tenant,6,derivatives,yes
M,25,married,basic,2,unemployed,0,0,0,yes,31152,owner,6,stocks,yes
M,24,widowed,highsch,0,part_time,0,2,19125,no,0,tenant,3,derivatives,yes
F,34,single,univ,0,self_employ,3,5,95625,no,0,owner_morg,1,bonds,yes
M,38,married,highsch,0,part_time,7,9,28688,no,0,owner_morg,3,stocks,no
F,37,married,basic,1,part_time,4,11,19125,yes,59240,tenant,1,derivatives,yes
M,55,divorced,postgrad,1,full_time,11,10,148750,no,0,tenant,1,derivatives,yes
M,42,divorced,highsch,3,full_time,0,18,47813,no,0,tenant,14,stocks,no
M,53,single,highsch,0,unemployed,0,25,0,no,0,owner_morg,15,derivatives,yes
M,73,divorced,highsch,3,retired,22,40,22313,no,0,tenant,12,bonds,yes
M,24,single,univ,0,full_time,2,2,53125,no,0,tenant,6,derivatives,yes
F,52,single,highsch,0,part_time,6,7,33469,no,0,owner,9,derivatives,no
F,24,divorced,highsch,1,part_time,1,1,19125,no,0,tenant,4,bonds,no
F,23,married,univ,0,self_employ,3,3,63750,yes,29875,owner,4,bonds,no
F,23,married,univ,0,part_time,1,4,31875,yes,45649,owner_morg,6,derivatives,no
